Time stamp,X-axis reading,Y-axis reading,Z-axis reading,labels
0,1861,2383,2058,7
1,1923,2388,2023,3
2,1868,2590,2050,4
3,1914,2390,1989,7
4,1964,2371,2119,1
5,1882,2379,1981,7
6,1902,2383,1981,7
7,1894,2384,1995,7
8,1902,2319,1999,4
9,1895,2384,2081,7
10,1905,2385,1965,7
11,1911,2394,2162,4
12,1803,2401,2109,4
13,1825,2571,2085,4
14,1875,2389,1969,7
15,1974,2369,2140,1
16,1875,2344,2068,7
17,1931,2393,1993,7
18,1899,2380,2092,7
19,1878,2376,1970,7
20,1891,2380,1989,7
21,1908,2382,1999,7
22,2002,2380,2146,4
23,1894,2384,2025,3
24,1906,2387,1985,7
25,1897,2286,2002,6
26,1859,2365,2063,4
27,1869,2386,1974,7
28,1869,2371,1995,7
29,1963,2369,2133,1
30,1901,2396,2091,4
31,1881,2380,1994,3
32,1978,2373,2121,1
33,1908,2383,1968,7
34,1868,2387,2011,3
35,1910,2385,1963,7
36,1887,2384,1994,7
37,1914,2387,2053,7
38,1966,2371,2116,1
39,1884,2380,1987,7
40,1981,2370,2130,1
41,1958,2365,2123,1
42,1875,2387,2099,7
43,1951,2371,2011,7
44,1980,2379,2129,1
45,1907,2382,2015,7
46,1920,2376,2087,3
47,1911,2389,1989,7
48,1964,2373,2134,1
49,1846,2431,2144,4
50,1923,2387,1986,7
51,1877,2371,1990,7
52,1899,2256,2073,4
53,1961,2385,2086,1
54,1909,2387,2056,7
55,1891,2382,1983,7
56,1888,2376,1972,3
57,1886,2381,2003,7
58,1903,2388,1998,7
59,1955,2379,2107,1
60,1910,2386,1997,7
61,1902,2335,2012,4
62,1910,2383,2006,3
63,1864,2373,2129,1
64,1899,2381,1993,7
65,1919,2401,2005,7
66,1980,2358,2153,1
67,1893,2313,2036,4
68,1897,2389,2000,7
69,1958,2380,2110,1
70,1866,2405,2110,4
71,1870,2595,2119,4
72,1876,2291,2008,3
73,1906,2387,1982,7
74,1940,2433,2079,7
75,1910,2385,2035,3
76,1876,2382,2003,7
77,1881,2375,2022,7
78,1983,2388,2070,1
79,1875,2380,2003,7
80,1923,2297,2055,4
81,1905,2378,1971,7
82,1874,2386,2040,7
83,1900,2383,1973,7
84,1966,2373,2119,1
85,1907,2389,2001,7
86,1908,2386,1988,7
87,1903,2387,1997,7
88,1896,2274,2093,4
89,1957,2390,2085,1
90,1969,2368,2138,1
91,1937,2389,1993,7
92,1896,2383,1974,7
93,1883,2381,1998,7
94,1968,2364,2130,1
95,1973,2362,2160,1
96,1961,2401,1998,5
97,1907,2383,1981,7
98,1894,2380,1986,7
99,1932,2380,2013,7
100,1968,2378,2117,1
101,1956,2378,2127,1
102,1870,2283,2089,4
103,1911,2454,2032,4
104,1983,2308,2201,5
105,1905,2377,2087,7
106,1867,2373,2007,7
107,1972,2374,2122,1
108,1871,2379,2005,7
109,1916,2402,1995,7
110,1902,2383,2009,3
111,1878,2384,1991,7
112,1891,2383,2013,3
113,1899,2378,1975,7
114,1907,2384,1971,7
115,1971,2377,2125,1
116,1921,2321,2097,5
117,1980,2378,2126,1
118,1927,2475,2065,5
119,1894,2383,2026,4
120,1874,2384,2044,7
121,1918,2386,1989,7
122,1915,2383,1967,7
123,1954,2382,2112,1
124,1979,2376,2131,1
125,1865,2328,2105,4
126,1937,2339,2052,3
127,1890,2382,1984,7
128,1981,2359,2020,7
129,1918,2385,1980,7
130,1903,2325,1998,4
131,1895,2385,2002,7
132,1902,2386,1987,7
133,1899,2383,1967,7
134,1869,2378,2001,7
135,1891,2383,1971,7
136,1888,2376,1996,7
137,1918,2383,2050,7
138,1877,2376,2006,7
139,1959,2380,2103,1
140,1870,2385,2019,7
141,1884,2376,2009,3
142,1891,2398,2026,7
143,1958,2377,2116,1
144,2002,2314,2158,4
145,1972,2375,2112,1
146,1916,2385,1991,7
147,1879,2376,2008,7
148,1880,2377,1976,7
149,1968,2370,2131,1
150,1863,2354,2086,4
151,1912,2386,1988,7
152,1908,2282,2063,4
153,1916,2380,1982,7
154,1953,2371,2149,7
155,1968,2390,2081,7
156,1888,2383,1995,7
157,1908,2389,1967,7
158,1880,2384,2004,7
159,1925,2403,2058,7
160,1905,2384,1978,7
161,1909,2387,1972,7
162,1905,2388,2004,7
163,1911,2389,2037,3
164,1873,2377,2008,7
165,1802,2514,2015,4
166,1883,2381,2007,7
167,1901,2281,2063,6
168,1937,2327,2143,5
169,1963,2382,2097,1
170,1913,2288,2033,4
171,1879,2293,2063,4
172,1890,2381,1981,7
173,1866,2391,2040,7
174,1891,2386,1996,7
175,1963,2371,2138,1
176,1914,2369,2115,7
177,1899,2390,1987,7
178,1885,2383,1990,7
179,1871,2507,2047,4
180,1971,2366,2142,1
181,1970,2374,2126,1
182,1977,2375,2121,1
183,1878,2421,2001,4
184,1913,2239,2133,4
185,1877,2388,1997,7
186,1907,2389,1991,7
187,1857,2526,2155,4
188,1975,2375,2116,1
189,1920,2372,2116,7
190,1901,2411,2043,4
191,1905,2387,1987,7
192,1911,2398,1986,7
193,1913,2387,1983,7
194,1856,2375,2042,4
195,1866,2375,2000,7
196,1878,2348,1996,4
197,1970,2374,2125,1
198,1878,2379,1996,7
199,1874,2380,1977,7
200,1970,2369,2132,1
201,1902,2360,2010,4
202,1974,2371,2121,1
203,1939,2387,2096,7
204,1918,2387,1997,7
205,1899,2387,2002,7
206,1915,2388,1993,7
207,1905,2384,1966,7
208,1924,2382,2002,7
209,1961,2367,2124,1
210,1901,2389,1998,7
211,1859,2302,2018,1
212,1863,2384,2020,7
213,1901,2376,2066,7
214,1968,2367,2135,1
215,1968,2372,2133,1
216,1976,2367,2126,1
217,1952,2377,2113,1
218,1882,2378,1993,7
219,1804,2563,2082,4
220,1904,2421,2136,6
221,1968,2389,2045,3
222,1912,2427,2085,4
223,1930,2329,2096,5
224,1620,2001,2037,1
225,1881,2381,1977,7
226,1965,2374,2130,1
227,1960,2375,2114,1
228,1843,2555,2083,4
229,2065,2380,2112,7
230,1863,2373,1989,7
231,1915,2379,1995,7
232,1973,2371,2125,1
233,1902,2387,1987,7
234,1887,2385,1980,7
235,1949,2381,2088,1
236,1908,2382,1975,7
237,1871,2379,2005,7
238,1941,2379,2135,7
239,1968,2374,2114,1
240,1887,2383,1999,7
241,1889,2381,1999,7
242,1893,2377,2062,7
243,1918,2390,2044,3
244,1885,2386,2065,7
245,1961,2381,2099,1
246,1876,2376,2002,7
247,1958,2382,2096,1
248,1885,2384,1994,7
249,1888,2383,1983,7
250,1895,2383,2034,3
251,1931,2387,1984,7
252,1885,2263,2032,4
253,1900,2387,2009,7
254,1877,2386,1992,7
255,1873,2378,2063,7
256,1899,2387,1979,3
257,1966,2370,2124,1
258,1889,2386,2004,3
259,1903,2323,2029,4
260,1897,2382,1965,7
261,1925,2379,2106,7
262,1893,2389,2001,7
263,1936,2386,2081,7
264,1935,2398,2010,7
265,1971,2374,2112,1
266,1901,2383,2120,4
267,1894,2444,2007,5
268,1909,2391,1984,7
269,1898,2378,2081,7
270,1966,2377,2117,1
271,1962,2380,2115,1
272,1878,2380,1990,7
273,1875,2381,2008,7
274,1975,2371,2120,1
275,1962,2374,2100,1
276,1967,2382,2117,1
277,1894,2391,2030,3
278,1905,2388,2032,7
279,1915,2385,2012,7
280,1889,2386,1997,7
281,1900,2387,1988,7
282,1897,2382,1973,7
283,1905,2384,1974,7
284,1910,2387,2013,7
285,1967,2370,2137,1
286,1967,2378,2103,1
287,1914,2385,2058,4
288,1976,2373,2117,1
289,1914,2376,2103,7
290,1905,2383,1992,7
291,1974,2373,2131,1
292,1896,2258,2070,4
293,1907,2383,1970,7
294,1904,2390,1980,7
295,1953,2378,2120,1
296,1762,2480,1976,4
297,1895,2383,1968,7
298,1907,2386,2010,7
299,1921,2389,2048,7
300,1975,2376,2127,1
301,1910,2388,1981,7
302,1875,2383,2002,7
303,1872,2377,1972,3
304,1913,2385,1990,7
305,1877,2381,2013,7
306,1900,2375,1995,7
307,1918,2371,2114,4
308,1916,2354,2033,4
309,1899,2383,2076,7
310,1885,2383,2074,7
311,1913,2388,2018,3
312,1911,2385,1970,7
313,1966,2385,2111,1
314,1827,2615,2145,4
315,1899,2297,2057,4
316,1911,2389,1976,7
317,1831,2433,2033,4
318,1870,2288,2021,4
319,1874,2493,1968,4
320,1893,2383,2001,7
321,1859,2336,2063,5
322,1903,2383,1983,7
323,1909,2386,1978,7
324,1897,2417,2105,4
325,1899,2385,1973,7
326,1906,2384,1993,7
327,1919,2335,1996,6
328,1973,2376,2116,1
329,1926,2382,2052,7
330,1918,2387,2053,7
331,1896,2382,1981,7
332,1908,2415,2024,7
333,1877,2381,1977,3
334,1887,2379,2018,7
335,1901,2384,1990,7
336,1867,2318,2007,4
337,1920,2287,1997,4
338,1929,2379,2103,7
339,1869,2393,2034,7
340,1865,2379,1992,7
341,1887,2377,2000,7
342,1976,2352,2139,1
343,1968,2370,2134,1
344,1907,2385,1967,7
345,1880,2322,2004,4
346,1967,2380,2121,1
347,1925,2391,2035,7
348,1885,2378,2000,7
349,1875,2374,2000,7
350,1891,2379,2028,3
351,1904,2386,2002,7
352,1895,2383,2002,7
353,1891,2377,1969,7
354,1925,2377,1987,7
355,1905,2390,2001,7
356,1903,2389,1999,7
357,1858,2379,2067,7
358,1864,2365,2092,4
359,1881,2371,2030,7
360,1891,2367,2094,1
361,1916,2394,1969,6
362,1967,2381,2098,1
363,1905,2382,1985,7
364,1906,2380,2006,7
365,1881,2380,1990,7
366,1902,2388,2029,3
367,1903,2386,2034,3
368,1912,2388,2003,7
369,1874,2378,2013,7
370,1903,2392,1986,7
371,1816,2503,2036,4
372,1879,2381,1995,7
373,1896,2383,2064,7
374,1871,2393,1998,7
375,1979,2361,2151,1
376,2045,2336,2187,6
377,1979,2376,2118,1
378,1967,2369,2138,1
379,1841,2351,2059,4
380,1966,2371,2119,1
381,1971,2366,2137,1
382,1900,2386,1991,7
383,1868,2375,1986,3
384,1875,2377,2004,7
385,1905,2253,2052,4
386,1932,2394,2021,7
387,1870,2378,1991,7
388,1915,2362,2111,4
389,1881,2389,1998,7
390,1899,2368,2027,7
391,1808,2536,2162,3
392,1909,2385,1985,7
393,1887,2383,1974,7
394,1905,2283,2075,4
395,1887,2381,1981,7
396,1920,2386,1968,7
397,1967,2378,2122,1
398,1981,2373,2141,1
399,1945,2378,2093,1
400,1922,2393,2116,7
401,1907,2387,1981,7
402,1917,2387,1987,7
403,1886,2379,2001,7
404,1857,2392,2105,6
405,1927,2383,2082,7
406,1893,2354,2018,4
407,2004,2387,2099,1
408,1973,2375,2120,1
409,1885,2380,1995,7
410,1937,2393,1990,7
411,1907,2394,2034,3
412,1872,2378,1981,3
413,1829,2495,2035,4
414,1867,2377,2005,7
415,1895,2383,2020,3
416,1875,2415,2135,4
417,1881,2379,1986,3
418,1876,2298,1680,1
419,1892,2384,2001,7
420,1929,2389,2051,7
421,1886,2379,2002,7
422,1894,2390,2028,3
423,1977,2375,2123,1
424,1894,2382,1976,7
425,1885,2367,2075,7
426,1885,2460,2152,4
427,1919,2385,2009,7
428,1883,2386,2068,7
429,1897,2379,2087,7
430,1887,2394,1998,7
